::1 - - [08/Mar/2026:08:35:23 +0000] "GET /api/v1/categories HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:35:23 +0000] "GET /api/v1/admin/banners HTTP/1.1" 503 69 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:35:23 +0000] "GET /api/v1/products?page=1&limit=12&categoryId= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:35:33 +0000] "POST /api/v1/users/login HTTP/1.1" 200 502 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:35:36 +0000] "GET /api/v1/users HTTP/1.1" 200 1018 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:35:47 +0000] "GET /api/v1/staff HTTP/1.1" 503 69 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:37:33 +0000] "POST /api/v1/staff HTTP/1.1" 400 183 "-" "PostmanRuntime/7.51.1"
::1 - - [08/Mar/2026:08:46:36 +0000] "POST /api/v1/staff HTTP/1.1" 400 187 "-" "PostmanRuntime/7.51.1"
::1 - - [08/Mar/2026:08:53:23 +0000] "POST /api/v1/staff HTTP/1.1" 201 313 "-" "PostmanRuntime/7.51.1"
::1 - - [08/Mar/2026:08:53:29 +0000] "POST /api/v1/staff HTTP/1.1" 400 54 "-" "PostmanRuntime/7.51.1"
::1 - - [08/Mar/2026:08:54:17 +0000] "POST /api/v1/staff HTTP/1.1" 201 313 "-" "PostmanRuntime/7.51.1"
::1 - - [08/Mar/2026:08:55:52 +0000] "GET /api/v1/staff HTTP/1.1" 200 562 "-" "PostmanRuntime/7.51.1"
::1 - - [08/Mar/2026:09:03:11 +0000] "GET /api/v1/staff HTTP/1.1" 200 562 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:10:29 +0000] "GET /api/v1/staff HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:15:20 +0000] "GET /api/v1/staff HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:16:45 +0000] "PUT /api/v1/staff/2001 HTTP/1.1" 200 325 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:16:45 +0000] "GET /api/v1/staff HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:17:25 +0000] "PUT /api/v1/staff/2001 HTTP/1.1" 200 324 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:17:25 +0000] "GET /api/v1/staff HTTP/1.1" 200 561 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:19:10 +0000] "GET /api/v1/staff HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:22:05 +0000] "GET /api/v1/staff HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:22:37 +0000] "PUT /api/v1/staff/2001 HTTP/1.1" 200 324 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:22:37 +0000] "GET /api/v1/staff HTTP/1.1" 200 561 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:29:21 +0000] "PUT /api/v1/staff/2001 HTTP/1.1" 200 325 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:29:21 +0000] "GET /api/v1/staff HTTP/1.1" 200 562 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:09:39:39 +0000] "GET /api/v1/staff HTTP/1.1" 200 562 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
